Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Realization,HermiT_Realization,JFact_Realization,Konclude_Realization,Openllet_Realization,Pellet_Realization,KoncludeCLI_Realization
ore_ont_15237.owl,304,15433,84241,83916,596,83314,6,1,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,,119.2603,,0.0146,,,1.6394
ore_ont_12448.owl,19748,9,163906,144153,41178,102970,5,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,8.9516,64.6164,655.7959999999999,0.3877,3.5349,2.7502,2.5653
ore_ont_9046.owl,10292,108314,130469,120171,11848,108314,9,0,7,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,10.8854,135.1113,447.2155,0.3933,2.525,2.0291,2.7658
ore_ont_14556.owl,338,17388,90521,90161,619,89536,6,1,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,1005.3618,82.8149,,0.0166,756.1056,580.5476,1.7264
ore_ont_7914.owl,17680,11,161922,144081,35398,108512,171,0,161,15,OWL2_DL - OWL2_FULL,OWL2_DL,,,,2.9955,,,5.3265
ore_ont_13708.owl,61321,4912,130226,68580,62953,5112,515,4,322,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,1.9995
ore_ont_11457.owl,61321,4912,130226,68580,62953,5112,515,4,322,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,2.0118
ore_ont_16315.owl,4895,58273,108506,103494,2537,100799,158,0,118,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,0.8476,,,12.1383
ore_ont_8723.owl,5116,58273,109313,104031,2983,100816,232,0,169,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,0.8318,,,10.4792
ore_ont_16184.owl,61736,4912,131727,69349,63260,5112,977,0,644,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,2.0627
ore_ont_12522.owl,2089,21399,90308,88194,3007,85175,12,0,26,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,45.6987,,0.0329,,,1.7724
ore_ont_1123.owl,45002,7,141935,96686,52604,43899,183,47,201,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_3873.owl,25609,0,189561,163944,26367,137569,8,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,55.4748,208.9317,878.1617,0.4717,2.5189,2.3949,3.1095
ore_ont_5781.owl,8853,128056,146156,137302,9245,128056,1,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,117.6062,33.1627,807.8109,0.4385,282.3118,223.9661,3.2496
ore_ont_16511.owl,14,22122,87095,86996,153,86805,38,28,58,0,OWL2_DL - OWL2_FULL,OWL2_DL,4.2159,21.6329,98.0128,0.0157,0.5966,0.4578,1.7225
ore_ont_11207.owl,1083,18177,103286,102179,2191,99982,6,1,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,200.3363,,0.1329,,,4.9351
ore_ont_6816.owl,19752,102970,163911,144155,41180,102970,5,0,5,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,8.8954,59.0191,704.573,0.3895,7.0509,5.2582,3.407
ore_ont_10127.owl,689,20373,107500,106790,1236,105548,6,1,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,,224.7063,,0.1135,,,3.8966
ore_ont_8858.owl,9224,143388,162244,153019,9629,143388,2,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,139.6358,67.3076,905.7325,0.4787,342.5579,263.0125,3.7409
ore_ont_13928.owl,53085,106,154828,101626,101360,108,158,0,118,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,2.2965,,463.559,4.2637
ore_ont_8068.owl,25520,7,223694,198170,42998,155169,3,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,,45.0658,,0.3881,2.6423,2.1311,3.4825
ore_ont_14221.owl,512,21598,115216,114684,957,113721,6,1,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,,237.0688,,0.0974,,,3.0563
ore_ont_2415.owl,23863,11,220800,196861,51675,145095,91,0,76,0,OWL2_DL - OWL2_FULL,OWL2_DL,22.7609,,1709.0091,0.5496000000000001,11.5302,8.0188,3.8799
ore_ont_14601.owl,679,22089,117052,116348,1260,115082,6,1,25,0,OWL2_DL - OWL2_FULL,OWL2_DL,,314.5238,,0.1222999999999999,,,4.3546
ore_ont_10068.owl,17558,0,227919,210353,30111,180242,0,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,,4.5958,1615.444,0.7331,1.6479,1.0642,3.6638
ore_ont_12414.owl,27889,7,238661,210765,47518,163244,3,0,7,0,OWL2_DL - OWL2_FULL,OWL2_DL,26.3443,46.9885,1519.4435,0.4311999999999999,3.8644,2.4954,3.6242
ore_ont_11053.owl,9157,34875,79096,69918,34959,34959,0,0,21,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,183.5413,46.1564,1053.0684,0.1373,241.4513,149.0727,2.891
ore_ont_16235.owl,27882,7,241966,214080,50941,163136,3,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,,50.5486,,0.5108,18.1278,14.1907,3.9695
ore_ont_4033.owl,9158,34875,84389,75209,40250,34959,0,0,22,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,183.5195,51.727,1102.3341,0.1374,243.6751,145.4586,3.0204
ore_ont_15687.owl,27397,634,66133,38380,37642,714,24,5,352,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,54.2091,,,69.9581
ore_ont_16767.owl,1670,27374,122485,120789,2358,118419,12,0,27,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,59.0238,,0.0268,,,2.274
ore_ont_14742.owl,75141,0,240929,165786,119558,46225,3,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,,503.0959,,1.0715,,,4.0673
ore_ont_1043.owl,26339,137569,200332,173986,36409,137569,8,0,8,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,212.5734,,0.4939,147.3384,108.2968,4.455
ore_ont_955.owl,75141,0,240929,165786,119558,46225,3,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,,493.8547,,1.0372,,,4.1569
ore_ont_13969.owl,78979,0,247812,168826,121708,47114,4,0,7,0,OWL2_DL - OWL2_FULL,OWL2_DL,5.9681,24.1368,,1.124,101.8337,78.7764,3.831
ore_ont_12651.owl,78979,0,247812,168826,121708,47114,4,0,7,0,OWL2_DL - OWL2_FULL,OWL2_DL,5.8956,23.9335,,1.1254,106.6722,77.897,3.7937
ore_ont_4744.owl,78979,0,247812,168826,121708,47114,4,0,7,0,OWL2_DL - OWL2_FULL,OWL2_DL,5.9975000000000005,23.545,,1.149,102.911,77.6382,3.8873
ore_ont_3733.owl,81150,12,253868,172686,124611,48064,11,4,28,0,OWL2_DL - OWL2_FULL,OWL2_DL,6.3149,99.1936,,2.0306,6.0258,5.4026,4.92
ore_ont_4054.owl,30169,8,268374,238200,57795,180400,5,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,,134.4017,,0.712,22.4432,20.1095,4.5597
ore_ont_5358.owl,30169,8,268374,238200,57795,180400,5,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,,133.8687,,0.681,28.1525,19.1323,4.6776
ore_ont_14355.owl,23854,144897,219662,195804,50905,144897,2,0,4,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,18.6558,5.0151,1542.7375,0.4598,5.1888,4.1861,4.76
ore_ont_15133.owl,23855,144897,219667,195806,50900,144897,9,0,7,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,18.8453,189.227,1552.7101,0.498,8.1705,6.8206,4.6507
ore_ont_11827.owl,23855,144897,219667,195806,50900,144897,9,0,7,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,18.577,181.4278,1495.647,0.4865,8.3104,6.7281,4.702
ore_ont_16286.owl,60685,4763,184475,116788,105064,4777,6947,2275,4727,0,OWL2_DL - OWL2_FULL,OWL2_DL,39.678,51.9647,1035.5834,10.7141,46.4664,35.9019,12.853
ore_ont_11287.owl,415,7524,149335,148783,553,148016,214,27,110,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,2.5471
ore_ont_14154.owl,793,26965,143909,143094,1506,141582,6,1,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,,422.7916,,0.1434,,,5.0782
ore_ont_15725.owl,582,26163,146315,145711,1123,144582,6,1,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,,341.198,,0.0264,,,3.266
ore_ont_11459.owl,78983,47114,247817,168828,121710,47114,4,0,7,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,6.2434,23.742,,1.0725,106.7091,75.8617,4.1829
ore_ont_6627.owl,34209,19,262024,227609,78696,148736,177,0,206,15,OWL2_DL - OWL2_FULL,OWL2_DL,,,,3.5687,,,7.8288
ore_ont_4242.owl,1902,32075,139325,137397,2707,134678,12,0,27,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,70.2897,,0.0298,,,2.7368
ore_ont_8787.owl,17562,180242,227924,210355,30113,180242,0,0,8,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,4.0958,1618.481,0.7311,92.07,67.6686,5.0431
ore_ont_1370.owl,20977,0,303335,282349,38375,243972,2,0,9,0,OWL2_DL - OWL2_FULL,OWL2_DL,,143.5007,,0.9622,,,4.7799
ore_ont_4755.owl,27890,7,323032,295138,50954,244181,3,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,,78.4712,,0.5122,18.4087,13.6138,5.3431
ore_ont_14861.owl,27899,7,323312,295396,51209,244182,5,0,17,0,OWL2_DL - OWL2_FULL,OWL2_DL,,79.5241,,0.5279,,15.3174,5.289
ore_ont_15621.owl,643,31977,168536,167871,1210,166655,6,1,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,,468.1805,,0.0355,,,4.2761
ore_ont_10838.owl,4327,95653,183463,179019,2537,176324,158,0,118,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,1.2647,,,19.8096
ore_ont_318.owl,34134,11,350198,316057,62848,253200,9,0,7,0,OWL2_DL - OWL2_FULL,OWL2_DL,,412.5511,,0.6262,5.4074,4.6442,5.634
ore_ont_3087.owl,4192,95453,195100,190791,2537,188096,158,0,118,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,1.342,,,21.5129
ore_ont_10697.owl,652,36186,188251,187573,1164,186403,6,1,26,0,OWL2_DL - OWL2_FULL,OWL2_DL,,1229.9074,,0.049,,,5.4521
ore_ont_9767.owl,37251,11,371804,334546,68453,266084,9,0,7,0,OWL2_DL - OWL2_FULL,OWL2_DL,,457.4051,,0.6739,5.3747,4.6132,6.0695
ore_ont_5418.owl,37253,11,372023,334762,68652,266101,9,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,,464.63,,0.6869000000000001,5.9916,4.7275,6.2482
ore_ont_8194.owl,30334,7,398086,367671,49301,318292,78,0,81,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,1.2851,45.0379,31.623,6.7888
ore_ont_8475.owl,74260,1283,303499,228880,227765,1085,30,0,361,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_2046.owl,10856,60502,131864,121004,60502,60502,0,0,4,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,690.9361,123.0064,,0.1893,335.2579,188.6644,5.1428
ore_ont_1182.owl,1086,35406,208551,207437,2252,205179,6,1,28,0,OWL2_DL - OWL2_FULL,OWL2_DL,,1166.8237,,0.2115,,,8.7383
ore_ont_11745.owl,43917,15,388243,344164,84391,259668,105,0,162,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,1.5166,,,8.488
ore_ont_4557.owl,18758,63749,146260,127498,63749,63749,0,0,4,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,834.7192,152.9574,,0.2714,581.0013,362.1206,5.6665
ore_ont_11315.owl,36115,12,435808,399685,74385,325290,10,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,,711.5183999999999,,1.8391,29.7947,23.7154,7.5167
ore_ont_11899.owl,36124,12,436130,399985,74679,325293,13,0,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,,712.0636,,1.8458,,25.0953,7.5921
ore_ont_9400.owl,34241,253200,350614,316367,63158,253200,9,0,7,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,407.3422,,0.6269,77.0748,58.9984,7.6396
ore_ont_5602.owl,20225,65566,151361,131132,65566,65566,0,0,4,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,1050.4054,154.4642,,0.2848,643.1685,402.5835,5.7846
ore_ont_9768.owl,20389,66977,154347,133954,66977,66977,0,0,4,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,728.4635,157.0708,,0.29,616.3941,363.9756,5.6755
ore_ont_15846.owl,22478,129647,281717,259122,2537,256427,158,0,118,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,2.437,,,33.9978
ore_ont_1579.owl,22699,129647,282524,259659,2983,256444,232,0,169,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,2.2201,,,28.9049
ore_ont_751.owl,37254,266084,371807,334549,68463,266084,2,0,4,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,,7.5965,,1.3182,7.3307,6.3555,8.4423
ore_ont_14216.owl,19194,66454,165547,146348,79894,66454,0,0,5,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,981.0835,200.8374,,0.2799,610.3743,495.9919,6.1102
ore_ont_11464.owl,14892,0,490205,475313,21034,454279,0,0,0,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,,5.9174,,1.3512,0.3914,0.3882,7.5465
ore_ont_12901.owl,293,48927,248038,247723,523,247194,6,1,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,,1086.1903,,0.0198,,,4.5945
ore_ont_5769.owl,1902,52221,226856,224930,2706,222212,12,0,25,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,144.5566,,0.7586,,,4.2384
ore_ont_7557.owl,33520,112691,287851,254214,26260,227796,158,0,118,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,2.1988000000000003,,,28.3294
ore_ont_5295.owl,33742,112691,288804,254896,26851,227813,232,0,169,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,2.2979,,,24.0629
ore_ont_5481.owl,15603,8,497293,481685,24012,457670,3,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,,516.7486,,1.4947,4.4708,3.3446,7.9626
ore_ont_10073.owl,15603,8,497293,481685,24012,457670,3,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,,536.6648,,1.4795,4.4673,3.4255,8.0053
ore_ont_5218.owl,89931,22,469812,379688,115095,264461,132,0,194,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,2.4586,,,10.7926
ore_ont_2253.owl,20603,67393,172388,151778,84385,67393,0,0,7,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,857.5646,164.818,,0.3135,768.4307,484.1353,6.0488
ore_ont_2111.owl,51417,14,498182,446652,90417,356154,81,0,113,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,1.9835,,,8.8842
ore_ont_1886.owl,4558,86475,180298,175002,6739,168173,90,0,739,0,OWL2_DL - OWL2_FULL,OWL2_DL,150.7825,,,0.3591,8.1616,5.7236,13.0084
ore_ont_16701.owl,899,43298,267674,266754,1958,264790,6,0,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,,892.222,,0.0407,,,6.369
ore_ont_3164.owl,643,51778,275906,275243,1247,273990,6,1,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,,1558.9707,,0.0333,,,6.3078
ore_ont_1199.owl,32666,117925,325473,292690,32680,259852,158,0,118,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,1.9071,,,31.0779
ore_ont_7993.owl,20167,78497,177165,156994,78497,78497,0,0,4,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,1079.0033,208.9811,,0.3096,789.4081,517.517,6.833
ore_ont_12528.owl,31850,0,571744,539885,69312,470571,2,0,9,0,OWL2_DL - OWL2_FULL,OWL2_DL,,402.9477,,1.8232,,,9.4793
ore_ont_13106.owl,4435,61567,280146,275682,6454,269216,12,0,30,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,253.4836,,0.0619,,,5.6513
ore_ont_5760.owl,20354,78934,193976,173617,94683,78934,0,0,5,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,1172.0626,206.0036,,0.3068,787.2883,617.5777,7.0077
ore_ont_10929.owl,13,22954,244449,244350,185,244134,31,25,62,0,OWL2_DL - OWL2_FULL,OWL2_DL,9.8611,55.7307,519.2507,0.0179,,,6.6143
ore_ont_10380.owl,36204,9,592629,556396,74487,481898,11,0,29,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,1.9382,,,9.6636
ore_ont_13846.owl,35707,9,600937,565130,73983,491054,93,0,101,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,1.9063,17.6641,14.188,10.2622
ore_ont_2622.owl,546,59453,315087,314519,982,313531,6,1,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,0.0345,,,7.2775
ore_ont_5519.owl,150979,0,533136,382155,167349,214804,2,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,,167.1122,,2.0786,35.2271,22.699,9.3988
ore_ont_9027.owl,105658,33505,329369,223576,149855,73708,13,24,111,0,OWL2_DL - OWL2_FULL,OWL2_DL,510.9597,97.4787,,6.0925,348.8552,,12.1461
ore_ont_2513.owl,958,62471,325057,324075,1775,322294,6,1,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,0.0854,,,10.1266
ore_ont_3658.owl,998,61617,330903,329879,1913,327960,6,1,26,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,0.0771,,,10.3785
ore_ont_9958.owl,1394,59885,333209,331790,2683,329101,6,1,25,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,0.3479,,,14.8616
ore_ont_4572.owl,36,32990,223342,223273,133,223139,1,28,5,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,5.372,18.2423,588.3592,0.0161,1.0496,,5.1598
ore_ont_13591.owl,57,112320,223461,223372,233,223139,0,0,33,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,486.4676,6.2298,,0.9854,2.612,2.0883000000000003,6.0234
ore_ont_5596.owl,60,112320,223492,223401,261,223139,1,0,33,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,392.4723,56.903,,0.996,5.4322,4.1862,6.0319
ore_ont_6682.owl,110717,40069,357057,246226,156921,89292,13,4,110,0,OWL2_DL - OWL2_FULL,OWL2_DL,823.3618,108.5927,,6.1812000000000005,,260.7158,12.8419
ore_ont_3133.owl,1013,70849,377192,376154,2022,374126,6,1,25,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,0.1038999999999999,,,10.9477
ore_ont_12203.owl,889,73465,386344,385431,1644,383781,6,1,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,0.0654,,,10.8508
ore_ont_5475.owl,31853,470571,571749,539887,69316,470571,0,0,9,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,,15.9142,,1.8298,13.3223,10.7424,13.8466
ore_ont_4187.owl,790,79337,397136,396325,1417,394902,6,1,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,0.0602,,,10.3999
ore_ont_2486.owl,36246,481898,593000,556727,74818,481898,11,0,29,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,1.9618,,,13.8535
ore_ont_4412.owl,60972,42,822491,761414,127474,633838,102,0,105,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,2.8613,18.7251,13.5734,14.471
ore_ont_16414.owl,1004,86788,464153,463123,1988,461129,6,1,26,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,0.0847,,,13.6182
ore_ont_10125.owl,73449,20,964490,891006,142989,747998,19,0,35,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,3.4109,,,15.9462
ore_ont_10568.owl,150591,117925,703248,552540,292530,259852,158,0,118,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,8.981,,,42.5302
ore_ont_12128.owl,187519,17,847766,660188,439187,220948,53,0,61,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,7.1363,,,19.8355
ore_ont_6233.owl,29971,176043,399651,369675,193632,176043,0,0,5,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,1345.2577,,0.5934999999999999,,,16.8846
ore_ont_1306.owl,35622,182784,401194,365568,182784,182784,0,0,4,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,1415.6493,,0.6359,,,17.3794
ore_ont_12351.owl,73521,747998,965093,891539,143522,747998,19,0,35,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,3.5069,,,22.6923
ore_ont_12567.owl,232086,220948,926550,694386,473357,220948,81,0,81,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,4.1989,,,19.2352
ore_ont_16457.owl,719,122888,660477,659651,1395,658117,139,1,108,3,OWL2_DL - OWL2_FULL,OWL2_DL,,,,0.3082,,,27.6915
ore_ont_2574.owl,81270,124592,741729,660341,275132,385051,158,0,119,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_10750.owl,37511,228760,503023,465506,232753,232753,0,0,6,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,0.8104,,,23.2313
ore_ont_3914.owl,12437,658369,913041,900585,12567,888012,6,0,19,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,5.0957,282.6045,195.7396,23.1654
ore_ont_1012.owl,37962,232982,537353,499385,262266,237119,0,0,6,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,0.7464,,,24.3254
ore_ont_15280.owl,51949,289206,630365,578412,289206,289206,0,0,4,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,0.9743,,,29.283
ore_ont_13482.owl,58376,292198,689540,631131,337936,293195,0,0,33,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,1.0832,,,30.9672
ore_ont_7192.owl,71033,128215,3196801,3125651,258527,2866966,158,0,118,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
